,loss,model,accs,thresh,,,,,mean diff,Value – mean,,var,std,,s_mean(x),t
244,0.028257094049454,VGG19,0.128,0.94,,,0.7527,,0.68129,0.0050993881,,,,,,
245,0.025190975928307,VGG19,0.1598,0.95,,,0.7209,,0.663355,0.003311427025,,,,,,
246,0.024214243721962,VGG19,0.1838,0.96,,,0.6969,,0.617325,0.006332180625,,,,,,
247,0.022450390744209,VGG19,0.2282,0.97,,,0.6525,,0.49026,0.0263218176,,,,,,
248,0.021002869653702,VGG19,0.2562,0.98,,,0.6245,,0.32279,0.0910289241,,,,,,
249,0.011082728302479,VGG19,0.5035,0.99,,,0.3772,,0.145465,0.053701110225,,,,,,
250,0.009445175093412,VGG19,0.5323,0.992,,,0.3484,,0.10781,0.0578835481,,,,,,
251,0.008208445066214,VGG19,0.5706,0.994,,,0.3101,,0.08018,0.0528632064,,,,,,
252,0.005859826725721,VGG19,0.7565,0.996,,,0.1242,,0.04062,0.0069856164,,,,,,
253,0.003331050908566,VGG19,0.8765,0.998,,,0.0042,,0.01974,0.0002414916,,,,,,
254,0.003297909280658,VGG19,0.8787,0.999,,,0.002,,0.01709,0.0002277081,,,,,,
255,0.003512510852516,VGG19,0.8807,3,,,0,,0,0,,,,,,
